State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Status Of Completion,Category,Village Scheme Type,FHTCS planned,FHTCS provided,Source of Scheme,Un-verified status,Main Schemes Funded From,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physical Work Status,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
madhya pradesh,e.e. phed division khargone,30056982.0,pipalai_retro,121.85,2022-2023,27-06-2022,24-08-2022,27-02-2025,31-12-2025,121.85,0.0,121.85,118.3752,57.878,118.3752,57.878,ongoing,retrofit/ augmentation,svs,182.0,128.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,121.85,57.878,6.093,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division narsinghpur,30232642.0,andiya pwss,33.45,2022-2023,24-05-2022,14-10-2022,24-09-2024,31-12-2025,33.45,0.0,33.45,26.42743,14.99331,26.42743,14.99331,ongoing,new pws scheme,svs,160.0,145.0,ground water based,not specified,jjm-pws,pws schemes,33.45,15.053,3.345,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion bhopal,30101038.0,kherkhedi  svs,27.88,2021-2022,31-08-2021,16-09-2022,not provided,30-09-2025,27.88,0.0,27.88,27.88,13.243,27.88,13.243,ongoing,new pws scheme,svs,97.0,53.0,ground water based,not specified,jjm-pws,pws schemes,27.88,13.243,1.394,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,30219979.0,kera pwss,37.73,2022-2023,30-12-2022,14-09-2023,not provided,30-06-2025,37.73,0.0,37.73,22.11955,8.01407,22.11955,8.01407,ongoing,new pws scheme,svs,72.0,51.0,ground water based,not specified,jjm-pws,pws schemes,37.73,16.978,3.773,0.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion betul,7756495.0,satkund (odf) pwss,125.53,2017-2018,12-07-2016,13-11-2017,28-02-2019,31-03-2021,91.23772,0.0,91.23772,125.22501,58.29125,91.23772,58.29125,financially completed,new pws scheme,svs,211.0,202.0,ground water based,not specified,nrdwp,ongoing and not taken for retrofit & augmentation (nrdwp schemes where expenditure booked since launch of jjm),0.0,0.0,0.0,100.0,physically completed,not provided,2023.0,not provided,2019.0,23-04-2025
madhya pradesh,e.e. phed divivsion rajgarh,30055785.0,barkheda anganwadi,1.05,2021-2022,31-12-2020,27-09-2021,13-03-2023,14-03-2023,1.05,0.0,1.05,0.945,0.4725,0.945,0.4725,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.525,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division mauganj,30250521.0,hatwachak 2(govt. siksha guarantee)),1.1682,2021-2022,22-08-2021,01-12-2021,not provided,31-12-2024,1.1682,0.0,1.1682,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.584,0.0,40.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division jhabua,8328426.0,w.s.in schooi block thandia(51),62.23,2020-2021,13-01-2021,24-03-2021,30-09-2021,30-11-2025,62.23,0.0,62.23,56.09904,25.08944,56.09904,25.08944,ongoing,new pws scheme,mvs,0.0,269.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,31.115,0.0,100.0,physically completed,not provided,2023.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30054967.0,munga  school,1.5,2020-2021,04-02-2021,16-09-2021,not provided,31-05-2023,1.5,0.0,1.5,1.40246,0.70123,1.40246,0.70123,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.75,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion betul,30082827.0,dangwa jjm,30.4,2020-2021,12-08-2021,30-12-2021,10-03-2025,31-12-2025,30.4,0.0,30.4,30.4,13.68,30.4,13.68,ongoing,new pws scheme,svs,12.0,83.0,ground water based,not specified,jjm-pws,pws schemes,30.4,13.68,3.04,100.0,physically completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division khargone,30237471.0,kawadiya_pwss,62.35,2023-2024,15-05-2023,08-09-2023,26-03-2025,31-12-2025,62.35,0.0,62.35,45.6483,15.20997,45.6483,15.20997,ongoing,new pws scheme,svs,223.0,198.0,ground water based,not specified,jjm-pws,pws schemes,62.35,28.058,6.235,100.0,physically completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division neemuch,8341973.0,girdoda (aanganwadi),1.0,2021-2022,09-03-2021,08-04-2021,31-07-2021,31-03-2024,1.0,0.0,1.0,2.0,1.0,2.0,1.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.5,0.0,100.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30247029.0,bhajipani school aanganwadi jjm scheme,1.43,2020-2021,06-01-2021,17-03-2023,20-12-2023,31-12-2023,1.43,0.0,1.43,1.43,0.715,1.43,0.715,ongoing,new pws scheme,svs,0.0,0.0,bulk water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.715,0.0,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division khargone,8367771.0,gujari_retro,47.91,2021-2022,19-08-2021,07-06-2021,19-05-2023,31-12-2025,47.91,0.0,47.91,45.31944,23.04895,45.31944,23.04895,ongoing,retrofit/ augmentation,svs,62.0,57.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,47.91,22.757,2.395,100.0,physically completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30250065.0,gadhkhapa_ps,2.4,2020-2021,27-01-2021,16-11-2022,06-11-2024,30-04-2025,2.4,0.0,2.4,2.4,0.0,2.4,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.2,0.0,100.0,physically completed,not provided,not specified,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division khargone,8157297.0,maltar_pwss retro,94.74,2020-2021,21-12-2020,21-12-2020,20-05-2023,31-12-2025,94.74,0.0,94.74,47.50929,19.66791,47.50929,19.66791,ongoing,retrofit/ augmentation,svs,265.0,151.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,94.74,42.633,9.474,100.0,physically completed,not provided,2022.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion rajgarh,8357278.0,lashkarpur jjm pwss,69.63,2021-2022,06-02-2021,30-06-2021,not provided,31-07-2025,69.63,0.0,69.63,50.50684,25.25342,50.50684,25.25342,ongoing,new pws scheme,svs,8.0,169.0,ground water based,not specified,jjm-pws,pws schemes,67.3,31.45,6.73,0.0,ongoing but physically not completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,30238862.0,sonpuri pwss,14.04,2023-2024,05-07-2023,14-09-2023,17-04-2025,30-06-2025,14.04,0.0,14.04,13.33133,3.68135,13.33133,3.68135,ongoing,new pws scheme,svs,20.0,6.0,ground water based,not specified,jjm-pws,pws schemes,14.04,6.318,1.404,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30024705.0,chikhlikala_jjm,76.22,2020-2021,25-08-2020,28-09-2020,08-07-2024,31-03-2025,76.22,0.0,76.22,16.00324,0.0,16.00324,0.0,ongoing,retrofit/ augmentation,svs,0.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,76.22,34.299,7.622,100.0,physically completed,not provided,not specified,not provided,2024.0,23-04-2025
madhya pradesh,rewa (e&m) division,8365671.0,m dhummadol,17.3,2021-2022,25-05-2021,25-05-2021,25-01-2024,31-08-2024,17.3,0.0,17.3,12.792,6.396,12.792,6.396,ongoing,new pws scheme,svs,40.0,35.0,ground water based,not specified,jjm-pws,pws schemes,17.3,7.785,1.73,100.0,physically completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30244401.0,lahgadua_ps,1.5,2022-2023,02-03-2023,03-08-2023,14-02-2024,26-07-2024,1.5,0.0,1.5,1.5,0.75,1.5,0.75,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.75,0.0,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division ratlam,30015516.0,bhensadabar retrofitting pwss 2021-22,56.44336,2021-2022,19-08-2021,23-02-2022,19-07-2023,30-11-2024,56.44336,0.0,56.44336,50.79902,25.39951,50.79902,25.39951,ongoing,retrofit/ augmentation,svs,78.0,83.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,56.443,25.399,5.644,100.0,physically completed,not provided,2023.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed divivsion rajgarh,30073876.0,padliyakhedi jjm pwss,70.47,2022-2023,31-12-2021,24-05-2022,05-04-2024,31-07-2025,70.47,0.0,70.47,51.67884,23.61591,51.67884,23.61591,ongoing,new pws scheme,svs,239.0,78.0,ground water based,not specified,jjm-pws,pws schemes,70.47,31.712,7.047,100.0,physically completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30233116.0,mehlon jjm retro scheme,81.59,2022-2023,27-02-2023,29-09-2023,not provided,31-12-2025,81.59,0.0,81.59,53.37676,7.12988,53.37676,7.12988,ongoing,retrofit/ augmentation,svs,200.0,31.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,81.59,36.715,8.159,0.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,pd jal nigam,8157980.0,payali mvrwss,20022.0,2020-2021,26-11-2020,13-12-2018,not provided,30-12-2025,20022.0,0.0,20022.0,9661.60885,5065.92099,9661.60885,5065.92099,ongoing,new pws scheme,mvs,79203.0,0.0,surface water based,not specified,jjm-pws,pws schemes,20022.0,9510.45,1001.1,74.0,ongoing but physically not completed,not provided,not specified,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion vidisha,8188934.0,mohanpur kala ( new svs ),28.67,2020-2021,20-10-2020,30-01-2021,07-10-2024,31-12-2024,28.67,0.0,28.67,28.66506,12.61044,28.66506,12.61044,ongoing,new pws scheme,svs,85.0,64.0,ground water based,not specified,jjm-pws,pws schemes,28.67,13.618,1.434,100.0,physically completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division khargone,30217268.0,dejla_pwss,190.77,2022-2023,19-01-2023,11-07-2023,not provided,31-07-2025,190.77,0.0,190.77,147.28048,70.70978,147.28048,70.70978,ongoing,new pws scheme,svs,376.0,279.0,ground water based,not specified,jjm-pws,pws schemes,190.77,90.616,9.539,75.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division sagar,30044070.0,beena _retrofitting,101.12,2021-2022,16-03-2021,01-04-2022,not provided,31-03-2025,101.12,0.0,101.12,35.77329,21.49058,35.77329,21.49058,ongoing,retrofit/ augmentation,svs,0.0,46.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,101.12,45.504,10.112,0.0,ongoing but physically not completed,not provided,2022.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division dindori,8357487.0,paganiya (school/aganwadi),7.23,2021-2022,24-12-2020,27-07-2021,not provided,31-12-2024,7.23,0.0,7.23,7.23,0.0,7.23,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,3.615,0.0,85.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division jhabua,30007521.0,const of pwss masuriya (block jhabua),74.55,2021-2022,19-08-2021,26-11-2021,not provided,30-06-2025,74.55,0.0,74.55,12.13332,3.90474,12.13332,3.90474,ongoing,new pws scheme,svs,28.0,1.0,ground water based,not specified,jjm-pws,pws schemes,74.55,35.411,3.728,65.0,ongoing but physically not completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,8382956.0,primary school chak bhaypura,1.72,2021-2022,22-12-2020,01-04-2021,09-03-2023,10-03-2023,1.72,0.0,1.72,1.72,0.805,1.72,0.805,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.86,0.0,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30246807.0,ratamati school anganwadi jjm scheme,2.4,2020-2021,06-01-2021,23-07-2021,not provided,23-10-2021,2.4,0.0,2.4,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.2,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division khurai,30041416.0,bhanghad,150.65,2021-2022,18-09-2020,01-03-2021,28-11-2024,30-03-2025,150.65,0.0,150.65,79.90728,65.58562,79.90728,65.58562,ongoing,new pws scheme,svs,250.0,150.0,ground water based,not specified,jjm-pws,pws schemes,150.65,67.793,15.065,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division ratlam,30132313.0,taraghati new jjm 2022-23,39.35,2022-2023,27-07-2022,12-12-2022,not provided,30-04-2026,39.35,0.0,39.35,19.40234,7.45117,19.40234,7.45117,ongoing,new pws scheme,svs,129.0,36.0,ground water based,not specified,jjm-pws,pws schemes,39.35,18.691,1.968,70.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division khandwa,30234334.0,water supply in school & anganwadi in village sawkheda (aa.no. 401 dt. 03/12/2021),8.6,2020-2021,08-09-2020,25-12-2021,18-06-2024,30-06-2024,8.6,0.0,8.6,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,5.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,4.3,0.0,100.0,physically completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division balaghat,30223085.0,rajma pwss,74.4,2022-2023,30-12-2022,05-02-2024,not provided,30-06-2025,74.4,0.0,74.4,35.29458,7.38594,35.29458,7.38594,ongoing,new pws scheme,svs,226.0,162.0,ground water based,not specified,jjm-pws,pws schemes,74.4,33.48,7.44,0.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division tikamgarh,30158433.0,retrofitting gadari,84.81,2020-2021,25-07-2020,17-11-2022,07-08-2024,31-03-2025,84.81,0.0,84.81,79.77345,38.1645,79.77345,38.1645,ongoing,retrofit/ augmentation,svs,250.0,237.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,84.81,38.165,8.481,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division mandla,30218206.0,darbara f.v. pwss,41.74,2020-2021,23-11-2020,10-08-2022,not provided,30-12-2024,41.74,0.0,41.74,34.07541,18.07541,34.07541,18.07541,ongoing,retrofit/ augmentation,svs,20.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,41.74,19.826,2.087,80.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion bhopal,8366486.0,ranikhajuri  anganwadi,1.83,2020-2021,21-12-2020,23-03-2021,04-10-2024,30-11-2024,1.83,0.0,1.83,1.83,0.915,1.83,0.915,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.915,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8366923.0,luka anganwadi,1.42,2021-2022,12-03-2021,01-04-2021,not provided,31-03-2022,1.42,0.0,1.42,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.71,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division sagar,30134105.0,mad pipariya_retrofitting,70.69,2021-2022,16-03-2022,01-11-2022,not provided,31-03-2025,70.69,0.0,70.69,68.94806,31.27403,68.94806,31.27403,ongoing,new pws scheme,svs,215.0,195.0,ground water based,not specified,jjm-pws,pws schemes,70.69,31.81,7.069,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division guna,8257942.0,ukawad  retrofitting scheme,175.72,2020-2021,12-11-2020,15-03-2021,07-10-2024,31-03-2025,175.72,0.0,175.72,159.4811,79.074,159.4811,79.074,ongoing,retrofit/ augmentation,svs,304.0,467.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,175.72,79.074,17.572,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30247550.0,ps lukka dhana school aanganwadi jjm scheme,3.43,2020-2021,06-01-2021,11-04-2023,not provided,31-03-2024,3.43,0.0,3.43,3.4,1.7,3.4,1.7,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.715,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division sardarpur,8207117.0,deodha jjm retrofit pwss,31.34,2020-2021,22-07-2020,01-12-2020,11-02-2024,31-12-2025,31.34,0.0,31.34,10.36914,3.55678,10.36914,3.55678,ongoing,retrofit/ augmentation,svs,101.0,69.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,31.34,14.886,1.567,100.0,physically completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,7758550.0,satona (odf) pwss,123.16,2017-2018,17-07-2017,12-11-2017,31-12-2019,31-03-2020,104.57,0.0,104.57,123.16,78.00954,104.57,70.79454,ongoing,new pws scheme,svs,263.0,565.0,ground water based,not specified,nrdwp,ongoing and not taken for retrofit & augmentation (nrdwp schemes where expenditure booked since launch of jjm),0.0,0.0,0.0,100.0,physically completed,not provided,2020.0,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division jhabua,30074557.0,new const.of pwss hidichotti block rama,84.76,2021-2022,30-12-2021,17-08-2022,31-07-2024,30-06-2025,84.76,0.0,84.76,77.74647,38.87324,77.74647,38.87324,ongoing,new pws scheme,svs,170.0,140.0,ground water based,not specified,jjm-pws,pws schemes,84.76,40.261,4.238,100.0,physically completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division dewas,8375142.0,thaldhewariya retro pwss,53.95,2021-2022,19-08-2021,19-08-2021,19-04-2024,31-03-2025,53.95,0.0,53.95,50.29941,25.14581,50.29941,25.14581,ongoing,retrofit/ augmentation,svs,20.0,47.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,53.95,24.278,5.395,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division morena,30023948.0,lohgarh jjm morena pwss,211.83761,2021-2022,03-05-2021,13-01-2022,24-01-2024,31-12-2024,211.83761,0.0,211.83761,184.84062,92.45533,184.84062,92.45533,ongoing,new pws scheme,svs,538.0,175.0,ground water based,not specified,jjm-pws,pws schemes,211.838,95.327,21.184,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion betul,30080746.0,dadaryi raiyat jjm,19.58,2021-2022,12-08-2021,12-12-2021,15-10-2024,03-04-2025,19.58,0.0,19.58,17.08123,8.54063,17.08123,8.54063,ongoing,new pws scheme,svs,71.0,53.0,ground water based,not specified,jjm-pws,pws schemes,19.58,9.3,0.979,100.0,physically completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed divivsion betul,8150480.0,lalkhedi retrofitting jjm,22.76,2020-2021,06-07-2020,13-10-2020,20-03-2024,12-11-2024,22.76,0.0,22.76,13.93573,9.70307,13.93573,9.70307,ongoing,retrofit/ augmentation,svs,122.0,5.0,ground water based,not specified,state and others,state & other completed and subsumed for retrofit & augmentation,22.76,10.242,2.276,100.0,physically completed,not provided,2021.0,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30249195.0,madhawani (matatola)_ps,1.5,2020-2021,20-01-2021,23-11-2022,not provided,not provided,1.5,0.0,1.5,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.75,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division sardarpur,8233841.0,jhiran jjm retrofit pwss,36.88,2020-2021,28-09-2020,26-02-2021,11-02-2024,31-03-2028,36.88,0.0,36.88,31.50597,6.71237,31.50597,6.71237,ongoing,retrofit/ augmentation,mvs,61.0,88.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,36.88,17.518,1.844,100.0,physically completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,gwalior (e&m) division,8361589.0,sangampur mec,12.55,2020-2021,11-02-2021,02-03-2021,30-04-2023,28-06-2024,12.55,0.0,12.55,11.295,6.27474,11.295,6.27474,ongoing,new pws scheme,svs,27.0,22.0,ground water based,not specified,jjm-pws,pws schemes,12.55,5.648,1.255,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,30218315.0,tumsar pwss,71.86,2022-2023,30-12-2022,13-09-2023,not provided,30-06-2025,71.86,0.0,71.86,71.75591,32.25077,71.75591,32.25077,ongoing,new pws scheme,svs,165.0,139.0,ground water based,not specified,jjm-pws,pws schemes,71.86,32.337,7.186,0.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division singrouli,8385533.0,chakariya,10.65,2021-2022,23-02-2021,24-06-2021,08-05-2023,31-05-2023,9.24606,0.0,9.24606,9.24606,4.62303,9.24606,4.62303,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,5.325,0.0,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division datia,8208807.0,bhavanipur new (retrofit),17.56,2020-2021,23-11-2020,28-11-2020,09-10-2023,31-12-2024,17.56,0.0,17.56,13.51525,8.341,13.51525,8.341,ongoing,new pws scheme,svs,88.0,88.0,ground water based,not specified,jjm-pws,pws schemes,17.56,7.902,1.756,100.0,physically completed,not provided,2021.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division khurai,8157041.0,pipariya,34.12,2020-2021,18-09-2020,01-11-2020,not provided,31-03-2025,34.12,0.0,34.12,19.57097,12.0604,19.57097,12.0604,ongoing,new pws scheme,svs,123.0,73.0,ground water based,not specified,jjm-pws,pws schemes,34.12,15.354,3.412,10.0,ongoing but physically not completed,not provided,2022.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30247174.0,khanswada school anganwadi jjm scheme,1.5,2020-2021,06-01-2021,16-09-2021,not provided,16-12-2021,1.5,0.0,1.5,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.75,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division balaghat,8240358.0,"deogaon (anganwadi, school)",8.8,2020-2021,19-01-2021,16-02-2021,29-07-2024,30-07-2024,11.79996,0.0,11.79996,11.79996,3.49998,11.79996,3.49998,financially completed,new pws scheme,svs,106.0,106.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,4.4,0.0,100.0,physically completed,not provided,2021.0,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division jabalpur,8128210.0,mangela,48.3784,2020-2021,29-07-2020,23-10-2020,not provided,18-04-2025,48.3784,0.0,48.3784,34.94545,16.51695,34.94545,16.51695,ongoing,retrofit/ augmentation,svs,462.0,123.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,48.378,21.77,4.838,99.0,ongoing but physically not completed,not provided,2022.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30236538.0,umrikhurd jjm scheme,29.18,2023-2024,20-04-2023,25-01-2024,not provided,31-12-2025,29.18,0.0,29.18,5.53365,2.43315,5.53365,2.43315,ongoing,new pws scheme,svs,73.0,13.0,ground water based,not specified,jjm-pws,pws schemes,29.18,13.131,2.918,10.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division narsinghpur,30237794.0,sukri pwss,19.68,2020-2021,29-09-2020,15-03-2021,not provided,30-09-2024,19.68,0.0,19.68,18.2617,9.13085,18.2617,9.13085,ongoing,new pws scheme,svs,70.0,0.0,ground water based,not specified,jjm-pws,pws schemes,19.68,9.348,0.984,0.0,ongoing but physically not completed,not provided,not specified,not provided,2024.0,23-04-2025
madhya pradesh,rewa (e&m) division,30008077.0,m gadahara kishor singh,13.43,2021-2022,25-05-2021,25-05-2021,24-07-2024,14-11-2024,13.43,0.0,13.43,6.59292,3.29502,6.59292,3.29502,ongoing,new pws scheme,svs,26.0,13.0,ground water based,not specified,jjm-pws,pws schemes,13.43,6.043,1.343,100.0,physically completed,not provided,2023.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed divivsion harda,8208950.0,bhadugaon retro,94.831,2020-2021,16-07-2020,20-09-2020,18-01-2024,31-05-2025,94.831,0.0,94.831,72.46,26.91752,72.46,26.91752,ongoing,retrofit/ augmentation,svs,491.0,275.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,94.831,45.044,4.742,100.0,physically completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division dewas,8127200.0,gola retro pwss,45.55,2020-2021,08-07-2020,08-07-2020,31-05-2022,31-03-2024,45.55,0.0,45.55,15.56148,9.56148,15.56148,9.56148,ongoing,retrofit/ augmentation,mvs,180.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,45.55,20.497,4.555,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
