State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Status Of Completion,Category,Village Scheme Type,FHTCS planned,FHTCS provided,Source of Scheme,Un-verified status,Main Schemes Funded From,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physical Work Status,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
madhya pradesh,e.e. phed division bhind,7758308.0,noudha (odf) pwss,91.45,2017-2018,17-11-2017,17-11-2017,02-03-2023,03-03-2023,121.02212,0.0,121.02212,125.15212,58.0,121.02212,58.0,financially completed,new pws scheme,svs,591.0,393.0,ground water based,not specified,nrdwp,ongoing and not taken for retrofit & augmentation (nrdwp schemes where expenditure booked since launch of jjm),0.0,0.0,0.0,100.0,physically completed,not provided,2022.0,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed divivsion hoshangabad,30157054.0,new pwss silari kalan,78.85,2022-2023,01-09-2022,31-05-2023,not provided,21-11-2024,78.85,0.0,78.85,21.63276,10.81638,21.63276,10.81638,ongoing,new pws scheme,svs,274.0,172.0,ground water based,not specified,jjm-pws,pws schemes,78.85,35.482,7.885,40.0,ongoing but physically not completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division mandsour,8223391.0,kherkhedi retrofitting scheme,49.5,2020-2021,09-07-2020,04-03-2021,29-05-2023,21-08-2024,49.5,0.0,49.5,35.0,20.0,35.0,20.0,ongoing,retrofit/ augmentation,mvs,310.0,32.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,49.5,22.275,4.95,100.0,physically completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,gwalior (e&m) division,8363791.0,itarora  mech. new,15.98,2020-2021,24-12-2020,25-03-2021,24-05-2023,30-11-2024,15.98,0.0,15.98,11.8409,5.92043,11.8409,5.92043,ongoing,new pws scheme,svs,45.0,36.0,ground water based,not specified,jjm-pws,pws schemes,15.98,7.191,1.598,100.0,physically completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8369459.0,ms bhagora,1.78,2021-2022,12-03-2021,01-04-2021,03-02-2024,09-02-2024,1.0,0.0,1.0,1.0,0.5,1.0,0.5,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.89,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed divivsion betul,30081537.0,tawda jjm retro,19.71,2020-2021,16-08-2020,04-02-2021,not provided,30-08-2024,19.71,0.0,19.71,5.61661,2.8083,5.61661,2.8083,ongoing,retrofit/ augmentation,svs,5.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,19.71,8.87,1.971,0.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30249606.0,bodi_an,1.5,2020-2021,30-01-2021,10-10-2022,not provided,31-03-2025,1.5,0.0,1.5,1.5,0.0,1.5,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.75,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division guna,8226588.0,keragarh retrofiting,40.8,2020-2021,24-08-2020,25-01-2021,18-05-2023,30-06-2024,40.8,0.0,40.8,39.8623,16.40768,39.8623,16.40768,ongoing,retrofit/ augmentation,svs,131.0,124.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,40.8,18.36,4.08,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division shahdol,8129588.0,amraha (retrofitting),29.28,2020-2021,10-09-2020,02-11-2020,03-03-2025,30-09-2025,29.28,0.0,29.28,28.04703,13.04968,28.04703,13.04968,ongoing,retrofit/ augmentation,svs,407.0,197.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,29.28,13.176,2.928,100.0,physically completed,not provided,2025.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division dindori,8349038.0,silyari (school/aganwadi),5.93,2021-2022,24-12-2020,03-06-2021,not provided,19-11-2024,5.93,0.0,5.93,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,2.965,0.0,75.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
