State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Work not awarded/ Ongoing/ Financially completed,New scheme/ Retrofit/ Augmentation,SVS/ MVS/ Bulk Water Schemes,FHTCS planned,FHTCS provided,Ground/ Surface water/ Bulk Water Based/ Other,Un-verified status,NRDWP/ State and Others/ JJM-PWS/ JJM-Non-PWS,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physically completed/ Ongoing but physically not completed/ Work order not issued,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
Madhya Pradesh,E.E. PHED Division MAUGANJ,30250416,dhausad(primary school),1.1682,2021-2022,22-08-2021,01-12-2021,,31-08-2024,1.1682,0,1.1682,0,0,0,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.584,0,0,Ongoing but physically not completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division MANDLA,8192880,SAGAR PWSS,40.63,2020-2021,18-06-2020,04-12-2020,29-01-2024,31-03-2026,40.63,0,40.63,39.70538,17.93047,39.70538,17.93047,Ongoing,retrofit/ Augmentation,SVS,270,187,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,0,20.315,0,100,Physically completed,December,2022,December,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division REWA,30013359,SAHPUR PWSS (RETROFIT ),164.41,2020-2021,22-07-2020,18-11-2021,,31-12-2025,164.41,0,164.41,134.57454,67.28728,134.57454,67.28728,Ongoing,retrofit/ Augmentation,SVS,696,129,Ground water based,,State and Others,State & Other completed and subsumed for Retrofit & Augmentation,164.41,73.984,16.441,80,Ongoing but physically not completed,June,2022,July,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division BALAGHAT,8374139,LIMOTI PIPARTOLA RETRO PWSS,41.4,2020-2021,07-10-2020,23-08-2021,31-03-2022,31-03-2025,41.4,0,41.4,41.4,18.99465,41.4,18.99465,Ongoing,retrofit/ Augmentation,SVS,44,87,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,41.4,18.63,4.14,100,Physically completed,May,2022,January,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Sheopur,8065907,BECHAI RETROFITTING SCHEME,18.52,2020-2021,18-09-2020,19-10-2020,21-05-2024,22-05-2024,18.52,0,18.52,18.52,9.26,18.52,9.26,Financially completed,retrofit/ Augmentation,SVS,158,102,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,0,9.26,0,100,Physically completed,September,2021,February,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SATNA,8165595,BATHIYA KALAN,124.48,2020-2021,30-07-2020,12-01-2021,21-06-2023,30-06-2024,124.48,0,124.48,122.49182,56.016,122.49182,56.016,Ongoing,retrofit/ Augmentation,SVS,653,319,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,124.48,56.016,12.448,100,Physically completed,December,2022,March,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SATNA,8373177,559 (SCHOOL BLOCK MAIHAR),39,2021-2022,01-02-2021,06-07-2021,,31-03-2023,39,0,39,8.452,4.226,8.452,4.226,Ongoing,New PWS scheme,MVS,16,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,19.5,0,0,Ongoing but physically not completed,,,December,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
